year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,BRA,Brazil,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",37241.0
2004,JPN,Japan,BRA,Brazil,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",363976.0
2004,JPN,Japan,BRN,Brunei Darussalam,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,404746228.0
2004,JPN,Japan,BRN,Brunei Darussalam,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",15226.0
2004,JPN,Japan,BRN,Brunei Darussalam,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",2386.0
2004,JPN,Japan,BRN,Brunei Darussalam,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,1485570193.0
2004,JPN,Japan,CAN,Canada,M,Import,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",379607605.0
2004,JPN,Japan,CAN,Canada,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",1543242.0
2004,JPN,Japan,CAN,Canada,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",306373.0
2004,JPN,Japan,CAN,Canada,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,11996.0
2004,JPN,Japan,CHE,Switzerland,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",755771.0
2004,JPN,Japan,CHE,Switzerland,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",7149.0
